abnormal pos: x = 0, y = 0, cpnt = 0, average =  85.00
abnormal pos: x = 0, y = 0, cpnt = 1, average =  67.00
abnormal pos: x = 0, y = 0, cpnt = 2, average =  46.00
abnormal pos: x = 1, y = 0, cpnt = 0, average =  49.00
abnormal pos: x = 1, y = 0, cpnt = 1, average =  39.00
abnormal pos: x = 1, y = 0, cpnt = 2, average =  34.00
abnormal pos: x = 2, y = 0, cpnt = 0, average =  33.00
abnormal pos: x = 2, y = 0, cpnt = 1, average =  36.67
abnormal pos: x = 2, y = 0, cpnt = 2, average =  30.33
abnormal pos: x = 3, y = 0, cpnt = 0, average =  31.25
abnormal pos: x = 3, y = 0, cpnt = 1, average =  31.00
abnormal pos: x = 3, y = 0, cpnt = 2, average =  34.50
abnormal pos: x = 4, y = 0, cpnt = 1, average =  32.00
abnormal pos: x = 5, y = 0, cpnt = 0, average =  31.67
abnormal pos: x = 5, y = 0, cpnt = 1, average =  40.67
abnormal pos: x = 5, y = 0, cpnt = 2, average =  34.50
abnormal pos: x = 6, y = 0, cpnt = 0, average =  31.43
abnormal pos: x = 6, y = 0, cpnt = 1, average =  39.86
abnormal pos: x = 6, y = 0, cpnt = 2, average =  33.71
abnormal pos: x = 7, y = 0, cpnt = 1, average =  38.62
abnormal pos: x = 7, y = 0, cpnt = 2, average =  30.25
abnormal pos: x = 8, y = 0, cpnt = 1, average =  34.78
abnormal pos: x = 8, y = 0, cpnt = 2, average =  30.11
abnormal pos: x = 11, y = 0, cpnt = 1, average =  31.60
abnormal pos: x = 12, y = 0, cpnt = 1, average =  32.20
abnormal pos: x = 13, y = 0, cpnt = 1, average =  32.00
abnormal pos: x = 16, y = 0, cpnt = 1, average =  32.40
abnormal pos: x = 17, y = 0, cpnt = 1, average =  32.10
abnormal pos: x = 18, y = 0, cpnt = 1, average =  32.90
abnormal pos: x = 69, y = 0, cpnt = 0, average =  30.60
abnormal pos: x = 70, y = 0, cpnt = 0, average =  33.00
abnormal pos: x = 71, y = 0, cpnt = 0, average =  32.60
abnormal pos: x = 74, y = 0, cpnt = 0, average =  30.90
abnormal pos: x = 79, y = 0, cpnt = 2, average =  30.60
abnormal pos: x = 80, y = 0, cpnt = 2, average =  32.90
abnormal pos: x = 81, y = 0, cpnt = 2, average =  33.70
abnormal pos: x = 82, y = 0, cpnt = 0, average =  30.60
abnormal pos: x = 82, y = 0, cpnt = 2, average =  37.40
abnormal pos: x = 83, y = 0, cpnt = 2, average =  33.70
abnormal pos: x = 84, y = 0, cpnt = 2, average =  36.20
abnormal pos: x = 85, y = 0, cpnt = 2, average =  33.70
abnormal pos: x = 86, y = 0, cpnt = 2, average =  30.60
abnormal pos: x = 114, y = 0, cpnt = 0, average =  32.30
abnormal pos: x = 115, y = 0, cpnt = 0, average =  32.50
abnormal pos: x = 116, y = 0, cpnt = 0, average =  30.50
abnormal pos: x = 139, y = 0, cpnt = 0, average =  32.10
abnormal pos: x = 140, y = 0, cpnt = 0, average =  34.80
abnormal pos: x = 140, y = 0, cpnt = 1, average =  30.40
abnormal pos: x = 141, y = 0, cpnt = 0, average =  30.10
abnormal pos: x = 142, y = 0, cpnt = 0, average =  30.70
abnormal pos: x = 143, y = 0, cpnt = 0, average =  30.40
abnormal pos: x = 144, y = 0, cpnt = 0, average =  34.00
abnormal pos: x = 144, y = 0, cpnt = 1, average =  35.30
abnormal pos: x = 145, y = 0, cpnt = 0, average =  37.10
abnormal pos: x = 145, y = 0, cpnt = 1, average =  38.20
abnormal pos: x = 146, y = 0, cpnt = 0, average =  34.10
abnormal pos: x = 146, y = 0, cpnt = 1, average =  34.00
abnormal pos: x = 147, y = 0, cpnt = 0, average =  33.50
abnormal pos: x = 147, y = 0, cpnt = 1, average =  34.30
abnormal pos: x = 148, y = 0, cpnt = 0, average =  34.20
abnormal pos: x = 148, y = 0, cpnt = 1, average =  36.10
abnormal pos: x = 149, y = 0, cpnt = 0, average =  37.90
abnormal pos: x = 149, y = 0, cpnt = 1, average =  37.00
abnormal pos: x = 150, y = 0, cpnt = 0, average =  35.20
abnormal pos: x = 150, y = 0, cpnt = 1, average =  36.70
